"day","min","opt","max"
0,0,0,0
1,0,0,0
2,0.0129533678756476,0.0906735751295336,0.163212435233161
3,0.0595854922279793,0.163212435233161,0.251295336787565
4,0.160621761658031,0.290155440414508,0.398963730569948
5,0.253886010362694,0.398963730569948,0.512953367875648
6,0.430051813471503,0.580310880829016,0.694300518134715
7,0.505181347150259,0.655440414507772,0.756476683937824
8,0.541450777202073,0.694300518134715,0.792746113989637
9,0.580310880829016,0.727979274611399,0.821243523316062
10,0.663212435233161,0.803108808290156,0.880829015544041
11,0.683937823834197,0.816062176165803,0.896373056994819
12,0.748704663212435,0.873056994818653,0.937823834196891
13,0.769430051813472,0.89119170984456,0.948186528497409
14,0.813471502590674,0.930051813471503,0.971502590673575
15,0.836787564766839,0.94559585492228,0.984455958549223
16,0.860103626943005,0.963730569948187,0.989637305699482
18,0.860103626943005,0.961139896373057,0.989637305699482
21,0.862694300518135,0.966321243523316,0.989637305699482
28,0.875647668393782,0.981865284974093,0.997409326424871
