"day","min","opt","max"
0,0,0,0
1,0.00259067357512961,0.0181347150259067,0.0569948186528498
2,0,0.0414507772020725,0.0906735751295336
3,0.0984455958549224,0.22279792746114,0.33160621761658
4,0.147668393782383,0.282383419689119,0.398963730569948
5,0.251295336787565,0.409326424870466,0.531088082901554
6,0.367875647668394,0.531088082901554,0.650259067357513
7,0.409326424870466,0.572538860103627,0.689119170984456
8,0.468911917098446,0.632124352331606,0.743523316062176
9,0.468911917098446,0.634715025906736,0.746113989637306
10,0.577720207253886,0.733160621761658,0.83160621761658
11,0.624352331606218,0.77720207253886,0.865284974093264
12,0.647668393782384,0.797927461139896,0.883419689119171
13,0.694300518134715,0.836787564766839,0.914507772020725
14,0.72020725388601,0.857512953367876,0.927461139896373
15,0.740932642487047,0.880829015544041,0.948186528497409
16,0.743523316062176,0.880829015544041,0.94300518134715
17,0.766839378238342,0.898963730569948,0.958549222797928
18,0.769430051813472,0.898963730569948,0.955958549222798
25,0.790155440414508,0.917098445595855,0.968911917098446
28,0.818652849740933,0.940414507772021,0.984455958549223
