"day","min","opt","max"
1,0,0,0
2,0.0324543610547667,0.0933062880324542,0.156186612576065
3,0.0730223123732252,0.160243407707911,0.237322515212982
4,0.204868154158215,0.320486815415821,0.417849898580122
5,0.304259634888438,0.425963488843813,0.529411764705882
6,0.478701825557809,0.602434077079107,0.697768762677485
7,0.543610547667343,0.669371196754564,0.760649087221095
8,0.600405679513185,0.720081135902637,0.8052738336714
9,0.636916835699797,0.762677484787018,0.839756592292089
10,0.671399594320487,0.791075050709939,0.862068965517241
11,0.701825557809331,0.813387423935091,0.884381338742393
12,0.750507099391481,0.85395537525355,0.91683569979716
13,0.764705882352941,0.86815415821501,0.924949290060852
14,0.815415821501014,0.906693711967546,0.953346855983773
15,0.829614604462475,0.922920892494929,0.963488843813387
20,0.847870182555781,0.935091277890466,0.971602434077079
21,0.86815415821501,0.935091277890466,0.979716024340771
28,0.896551724137931,0.973630831643002,0.993914807302231
