"day","min","opt","max"
0,0,0,0
1,0.00189393939393945,0.0170454545454546,0.0454545454545454
2,0.00189393939393945,0.0321969696969697,0.0738636363636362
3,0.0871212121212122,0.191287878787879,0.28219696969697
4,0.178030303030303,0.301136363636364,0.403409090909091
5,0.263257575757576,0.399621212121212,0.503787878787879
6,0.339015151515151,0.475378787878788,0.583333333333333
7,0.416666666666667,0.554924242424242,0.668560606060606
8,0.479166666666667,0.617424242424242,0.721590909090909
9,0.496212121212121,0.636363636363636,0.734848484848485
10,0.5625,0.696969696969697,0.789772727272727
11,0.613636363636364,0.75,0.831439393939394
12,0.630681818181818,0.761363636363636,0.854166666666667
13,0.666666666666667,0.795454545454545,0.869318181818182
14,0.702651515151515,0.825757575757576,0.897727272727273
15,0.71969696969697,0.827651515151515,0.909090909090909
18,0.738636363636364,0.856060606060606,0.922348484848485
21,0.757575757575757,0.87310606060606,0.931818181818182
23,0.776515151515151,0.892045454545454,0.943181818181818
25,0.799242424242424,0.90530303030303,0.954545454545454
28,0.816287878787879,0.920454545454545,0.973484848484848
